section,display_name,generated_name,derived_from,parent,tier,movements_tab,family,modality,equipment,load_position,stance,range_depth,symmetry,grip,grip_width,bench_angle,styles,direction,support,arm_position,variant,aliases,goals,primary_muscles,secondary_muscles,prescription_modifiers,confidence,needs_confirmation,note
derive,Tall Kneeling Offset Press,Kneeling Kettlebell Press,Press,Rotational Offset Press,2,,Push/Press,Weightlifting,Kettlebell,,Kneeling,,Offset,,,,,,,,,Kneeling Kettlebell Press,Strength,"Core, Shoulders","Obliques, Triceps",,medium,,Kneeling stance + Offset symmetry
derive,V-Sit Press Outs,Crush V-Sit Dumbbell Press,Press,Dumbbell Shoulder Press,2,,Push/Press,Weightlifting,Dumbbell,,V-Sit; V-Sit,,,,,,Crush; Crush,,,,,Crush V-Sit Dumbbell Press,Strength,Core,"Hip Flexors, Shoulders",,high,,stance V-Sit + style Crush
derive,Chest-to-Bar,Chest-to-Bar Pull-Up,Pull-Up,Pull-Up,1,yes,Pull,Gymnastics,Bar,,,,,,,,,,,,chest-to-bar,Chest-to-Bar Pull-Up,Skill,"Biceps, Lats, Upper Back",,,high,,RESOLVED COLLISION: variant chest-to-bar replaces the declared collision with the Pull-Up core (beyond-full ROM has no range value)
derive,Neutral-Grip Pull-Up,Neutral-Grip Pull-Up,Pull-Up,Pull-Up,1,,Pull,Gymnastics,Bar,,,,,Neutral,,,,,,,,V-Bar Pullup,Strength,"Biceps, Lats, Upper Back",,,medium,,V-bar = Neutral grip orientation; adopt 'Neutral-Grip Pull-Up'
derive,Weighted Pull-Up,Weighted Pull-Up,Pull-Up,Pull-Up,1,,Pull,Gymnastics,Bar,,,,,,,,Weighted,,,,,,Strength,"Lats, Upper Back","Biceps, Core, Forearms / Grip",,high,,Weighted style
derive,Wide-Grip Pull-Up,Wide-Grip Pull-Up,Pull-Up,Pull-Up,1,,Pull,Gymnastics,Bar,,,,,,Wide,,,,,,,Wide Grip Pull Ups,Strength,"Lats, Upper Back","Biceps, Forearms / Grip",,high,,Wide grip width (dictionary's own example)
derive,Barbell Push-Up,Barbell Push-Up,Push-Up,Push-Up,1,,Push/Press,Gymnastics,Barbell,,,,,,,,,,,,,Bar Push-Up,Strength,"Chest, Triceps","Core, Shoulders",,medium,,hands on barbell; adopt 'Barbell Push-Up'
derive,Close-Grip Push-Up,Close-Grip Push-Up,Push-Up,Push-Up,1,,Push/Press,Weightlifting,Bodyweight;Floor,,,,,,Close,,,,,,,Tricep Push Up,Strength,Triceps,"Chest, Core, Shoulders",,medium,,"CORRECTION 6: un-merged from Crush Push Ups - the diamond push-up is a real Close-grip child, not a duplicate"
derive,Crush Push-Up,Crush Push-Up,Push-Up,Push-Up,1,,Push/Press,Gymnastics,Bodyweight;Floor,,,,,,,,Crush; Crush,,,,,Crush Push Ups,Strength,"Chest, Triceps","Core, Shoulders",,medium,,"CORRECTION 6: a crush push-up is not a diamond push-up; style Crush, Close grip removed"
derive,Kettlebell Horn Push-Up,Kettlebell Push-Up,Push-Up,Push-Up,1,,Push/Press,Gymnastics,Kettlebell;Floor,,,,,,,,,,,,,Kettlebell Push-Up,Strength,"Chest, Triceps","Core, Shoulders",,low,yes,hands on KB horns; curated name; may be outlier
derive,Walkout Push-Up,Walkout Push-Up,Push-Up,Push-Up,1,,Push/Press,Recovery,Bodyweight;Floor,,,,,,,,,,,,walkout,Walkout Push-up,Mobility,"Chest, Triceps","Core, Shoulders",,medium,,inchworm walkout; variant label
derive,Alternating Front Extension,Front Alternating Raise,Raise,Raise,1,,Push/Press,Weightlifting,Dumbbell,,,,Alternating,,,,,Front,,,,Front Alternating Raise,Strength,Triceps,,,low,yes,FLAG still ambiguous (no description): read as an alternating front raise. Confirm with user; if it is a triceps press-out it moves to Press with style Crush
derive,Diagonal Delt Raise,Diagonal Raise,Raise,Raise,1,,Push/Press,Weightlifting,Dumbbell,,,,,,,,,Diagonal,,,,Diagonal Raise,Strength,Shoulders,,,high,,Direction Diagonal (scaption); the Front Raise collision the prior pass feared is now expressible
derive,Front Incline Raise,Front Incline Raise,Raise,Raise,1,,Push/Press,Weightlifting,Dumbbell;Bench,,,,,,,Incline,,Front,,,,,Strength,Shoulders,,,medium,,Direction Front + Incline bench angle; Bench suppressed as implied by bench_angle
derive,Lateral Raise,Lateral Raise,Raise,Raise,1,,Push/Press,Weightlifting,Dumbbell,,,,,,,,,Lateral,,,,Lateral Raises; Side Lateral Raise,Strength,Shoulders,,,high,,CORE RENAMED Front Raise -> Raise; Direction Lateral. Single-row-core objection dissolves
derive,Reverse Machine Fly,Rear Machine Raise,Raise,Raise,1,,Pull,Weightlifting,Machine; Machine,,,,,,,,,Rear,,,,Rear Machine Raise; Reverse Machine Flyes,Strength,"Shoulders, Upper Back",,,high,,Direction Rear + equipment Machine
derive,Single-Arm Cable Front Raise,Front Cable Raise,Raise,Raise,1,,Push/Press,Weightlifting,Cable,,,,Unilateral,,,,,Front,,,,Front Cable Raise,Strength,Shoulders,Chest,,medium,,Direction Front + Cable; Unilateral is silent so the world name is kept
derive,Cable Reverse Crunch,Cable Reverse Crunch,Reverse Crunch,Reverse Crunch,1,,Midline,Weightlifting,Cable,,,,,,,,,,,,,Cable-Resisted Reverse Crunch,Strength,Core,Hip Flexors,,high,,Cable (approved addendum)
derive,GHD Reverse Crunch,GHD Reverse Crunch,Reverse Crunch,Reverse Crunch,1,,Midline,Gymnastics,GHD,,,,,,,,,,,,,,Strength,Core,Hip Flexors,,high,,GHD equipment (approved addition)
derive,Incline Reverse Crunch,Incline Reverse Crunch,Reverse Crunch,Reverse Crunch,1,,Midline,Gymnastics,Bench;Bodyweight,,,,,,,Incline,,,,,,,Strength,Core,Hip Flexors,,high,,Bench Angle addendum
derive,Pull-to-Stand,Assisted Supine Floor Rope Climb,Rope Climb,Rope Climb,1,yes,Climb,Gymnastics,Rope;Floor,,Supine,,,,,,Assisted,,,,,Assisted Supine Floor Rope Climb; Assisted Vertical Pull; Rope Pull-to-Stand; Rope Seated Pull; Towel Pull-to-Stand,Strength,"Biceps, Forearms / Grip, Lats","Core, Shoulders, Upper Back",,medium,,"LEGACY Supine/Prone RECLASSIFIED -> Supine (seated/lying start, pulling to stand); family Pull -> Climb"
derive,Treadmill Run,Treadmill Run,Run,Run,1,,Run,Monostructural,Treadmill,,,,,,,,,,,,,Indoor Run; TM Run; Treadmill Running,MetCon,"Calves, Full Body, Quads",,,high,,Treadmill equipment
derive,Weighted Russian Twist,Weighted Dumbbell Russian Twist,Russian Twist,Russian Twist,1,,Midline,Weightlifting,Dumbbell,,,,,,,,Weighted,,,,,Weighted Dumbbell Russian Twist,Strength,Obliques,"Core, Hip Flexors",,high,,Weighted style - the row the revoked threshold killed
derive,Butterfly Sit-Up,Butterfly Sit-Up,Sit-Up,Sit-Up,1,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,Butterfly,,,,,,Strength,Core,Hip Flexors,,medium,,Butterfly style value or curated name
derive,Sit-Up Punch,Med Ball Sit-Up,Sit-Up,Sit-Up,1,,Midline,Gymnastics,Med Ball;Floor,,,,,,,,,,,,,Med Ball Sit-Up,Strength,Core,"Shoulders, Triceps",,low,yes,med-ball sit-up + punch; curated; may be outlier
derive,Weighted Sit-Up,Weighted Dumbbell Sit-Up,Sit-Up,Sit-Up,1,,Midline,Gymnastics,Dumbbell;Floor,,,,,,,,Weighted,,,,,Weighted Dumbbell Sit-Up,Strength,Core,Hip Flexors,,high,,generated would append the incidental implement (Dumbbell); plain 'Weighted Sit-Up' kept
derive,Kettlebell Hang Snatch,Kettlebell Hang Snatch,Snatch,Snatch,1,,Olympic,Weightlifting,Kettlebell,Hang,,,,,,,,,,,,,Strength,"Glutes, Shoulders","Core, Forearms / Grip, Hamstrings, Upper Back",,high,,Kettlebell + Hang
derive,Power Snatch,Partial Snatch,Snatch,Snatch,1,yes,Olympic,Weightlifting,Barbell,,,Partial,,,,,,,,,,Partial Snatch,Strength,Full Body,"Core, Forearms / Grip, Glutes, Hamstrings, Quads, Shoulders, Upper Back",,high,,power receiving depth (Partial)
derive,Back Squat,Back Squat,Squat,Squat,1,yes,Squat,Gymnastics,Barbell,Back,,,,,,,,,,,,Barbell Back Squat; Barbell Squat,Strength,"Glutes, Hamstrings, Quads","Core, Lower Back, Upper Back",,high,,Back load implies Barbell (suppressed); adopting generated name fixes the trailing space
derive,Cossack Squat,Lateral Squat,Squat,Squat,1,,Squat,Recovery,Bodyweight,,,,,,,,,Lateral,,,,Cossack Squats; Lateral Squat,"Strength, Mobility","Hip Adductors, Quads","Glutes, Hamstrings",,medium,,retagged Mobility -> Squat; Direction Lateral
derive,Dumbbell Goblet Squat,Dumbbell Goblet Squat,Squat,Squat,1,,Squat,Gymnastics,Dumbbell,Goblet,,,,,,,,,,,,,Strength,"Glutes, Quads","Core, Hamstrings",,high,,Goblet load + Dumbbell
derive,Front Squat,Front Squat,Squat,Squat,1,yes,Squat,Gymnastics,Barbell,Front,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Quads",,,high,,Front load position
derive,Hack Squat,Machine Squat,Squat,Squat,1,,Squat,Weightlifting,Machine; Machine,,,,,,,,,,,,,Hack; Machine Squat,Strength,"Glutes, Hamstrings, Quads","Core, Lower Back",,medium,,equipment Machine; trailing space trimmed; the wrong Back+ATG seed drops
derive,Kettlebell Goblet Squat,Kettlebell Goblet Squat,Squat,Squat,1,,Squat,Gymnastics,Kettlebell,Goblet,,,,,,,,,,,,,Strength,"Glutes, Quads","Calves, Core, Hamstrings",,high,,Goblet + Kettlebell
derive,Overhead Squat,Overhead Squat,Squat,Squat,1,yes,Squat,Gymnastics,Barbell,Overhead,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Quads",,,high,,Overhead load position
derive,Spanish Squat Hold,Bands Squat,Squat,Squat,1,,Squat,Recovery,Bands,,,,,,,,,,,,,Banded Spanish Squat Hold; Bands Squat; Knee-Friendly Squat Hold; Spanish Squat,"Strength, Recovery",Quads,,,high,,band-resisted squat; isometric is a modifier per the dictionary; Floor dropped as incidental
derive,Zercher Pin Squat,Lockout Zercher Squat,Squat,Squat,1,,Squat,Gymnastics,Barbell,Zercher,,Lockout Only,,,,,,,,,,Lockout Zercher Squat,Strength,"Glutes, Quads","Core, Upper Back",,medium,,pin = Lockout range; 'Pin Squat' is the world's name
derive,Wide-Stance Back Squat,Wide-Stance Back Squat,Squat,Back Squat,2,,Squat,Gymnastics,Barbell,Back,Wide (Sumo),,,,,,,,,,,Wide Stance Squat,Strength,"Glutes, Hip Adductors, Quads",,,medium,,import; assumed barbell back-rack wide squat
derive,Alternating Kickstand Swing,Staggered Alternating Swing,Swing,Swing,1,,Swing,Weightlifting,Kettlebell,,Staggered,,Alternating,,,,,,,,,Staggered Alternating Swing,MetCon,"Glutes, Hamstrings","Core, Forearms / Grip, Lower Back",,medium,,Staggered stance + Alternating
derive,Split Squat Kettlebell Swing,Split Swing,Swing,Swing,1,,Swing,Weightlifting,Kettlebell,,Split,,,,,,,,,,,Split Swing,Strength,"Glutes, Hamstrings, Quads","Core, Forearms / Grip",,medium,,Split stance swing
derive,Cable Rope Overhead Triceps Extension,Overhead Cable Triceps Extension,Triceps Extension,Triceps Extension,1,,Push/Press,Weightlifting,Cable,,,,,,,,,,,Overhead,,Overhead Cable Rope Tricep Extensions; Overhead Cable Triceps Extension,Strength,Triceps,,,high,,Arm Position Overhead
derive,Dumbbell Triceps Kickback,Behind-Body Dumbbell Triceps Extension,Triceps Extension,Triceps Extension,1,,Push/Press,Weightlifting,Dumbbell,,,,Unilateral,,,,,,,Behind-Body,,Behind-Body Dumbbell Triceps Extension; Single-Arm Kickback Variations; Tricep Dumbbell Kickback,Strength,Triceps,,,medium,,Arm Position Behind-Body
derive,EZ Bar Skullcrusher,Supine Barbell Bench Triceps Extension,Triceps Extension,Triceps Extension,1,,Push/Press,Weightlifting,Barbell;Bench,,Supine,,,,,,,,,,,Supine Barbell Bench Triceps Extension,Strength,Triceps,,,high,,Supine + Barbell;Bench; EZ bar shape not expressible but no collision results; world name kept
derive,Overhead Extension,Overhead Dumbbell Triceps Extension,Triceps Extension,Triceps Extension,1,,Push/Press,Weightlifting,Dumbbell,,,,,,,,,,,Overhead,,Overhead Dumbbell Triceps Extension,Strength,Triceps,,,medium,,Arm Position Overhead
derive,Single-Arm 45° Triceps Extension,Triceps Extension,Triceps Extension,Triceps Extension,1,,Push/Press,Weightlifting,Bodyweight,,,,Unilateral,,,,,,,,,Triceps Extension,Strength,Triceps,Shoulders,,medium,,"POLICY(a) curated-name child: Bodyweight and Unilateral are both silent, so it generates the bare core noun; DECLARED generated-name collision with the core Triceps Extension"
derive,Single-Arm Cable Triceps Kickback,Behind-Body Cable Triceps Extension,Triceps Extension,Triceps Extension,1,,Push/Press,Weightlifting,Cable,,,,Unilateral,,,,,,,Behind-Body,,Behind-Body Cable Triceps Extension; Single Arm Cable Tricep Kickback,Strength,Triceps,,,medium,,Arm Position Behind-Body
derive,Skull Crusher,Supine Bench Dumbbell Triceps Extension,Triceps Extension,Triceps Extension,1,,Push/Press,Weightlifting,Dumbbell;Bench,,Supine,,,,,,,,,,,Supine Bench Dumbbell Triceps Extension,Strength,Triceps,,,high,,Supine stance + Bench; 'Skull Crusher' is the world's name
derive,Reverse Grip Pushdown,Underhand Triceps Pushdown,Triceps Pushdown,Triceps Pushdown,1,,Push/Press,Weightlifting,Cable,,,,,Supinated,,,,,,,,Underhand Triceps Pushdown,Strength,Triceps,,,high,,Supinated grip orientation; world name kept
derive,Weighted Single Side V-Ups,Weighted Dumbbell V-Up,V-Up,V-Up,1,,Midline,Weightlifting,Dumbbell;Bodyweight,,,,Unilateral,,,,Weighted,,,,,Weighted Dumbbell V-Up,Strength,"Core, Obliques",Hip Flexors,,medium,,v-up accessory variant; too specific to derive
outlier,90/90s,,outlier,,,,Mobility,Recovery,Floor,,,,,,,,,,,,,,Mobility,"Glutes, Hip Flexors","Hip Abductors, Hip Adductors",,high,,recovery/mobility
outlier,Ab Rollout,,outlier,,,,Midline,Weightlifting,Bodyweight,,,,,,,,,,,,,,Strength,Core,"Lats, Shoulders",,high,,midline accessory
outlier,"Air Squat, Reverse Lunge, And Burpee Complex",,outlier,,,,Squat,Gymnastics,Bodyweight,,,,,,,,,,,,,,MetCon,Full Body,"Chest, Core, Glutes, Quads",,high,,ad-hoc complex
outlier,Alternating Cossack Squat To Halo,,outlier,,,,Squat,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,"Hip Adductors, Quads, Shoulders","Core, Glutes, Obliques",,high,,ad-hoc combo
outlier,Band Lateral Walk,,outlier,,,yes,Activation,Recovery,Bands;Floor,,,,,,,,,,,,,Banded Side Walk; Lateral Band Walk; Monster Walk (Lateral),Mobility,"Glutes, Hip Abductors","Core, Hip Flexors, Quads",,high,,activation station; un-parent from Lunge (misfile); current Offset/Athletic/Partial seed values drop
outlier,Barbell Shrug,,outlier,,,,Pull,Weightlifting,Barbell,,,,,,,,,,,,,,Strength,"Forearms / Grip, Neck / Traps, Upper Back",,,high,,"trap isolation; Shrug core REJECTED - it is the only shrug row in the catalog, no sibling to derive"
outlier,Body Waves,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Core, Lower Back","Hip Flexors, Shoulders",,high,,recovery/mobility
outlier,Bound Ups,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Calves, Quads","Glutes, Hamstrings",,high,,recovery/mobility
outlier,Cable Zercher Pull Through,,outlier,,,,Hinge,Weightlifting,Cable,,,,,,,,,,,,,,Strength,Glutes,"Core, Hamstrings",,medium,,cable pull-through; hinge accessory
outlier,Child's Pose Flow,,outlier,,,,Stretching,Recovery,Floor,,,,,,,,,,,,,,Mobility,"Shoulders, Upper Back","Hip Flexors, Lats",,high,,recovery/mobility
outlier,Cool-Down Walk,,outlier,,,yes,Run,Recovery,Bodyweight,,,,,,,,,,,,,,Recovery,Full Body,,,high,,recovery station; goal Cool-Down folds into Recovery per dictionary
outlier,D Ball Over Shoulder,,outlier,,,,Throw,Weightlifting,Sandbag,,,,,,,,,,,,,,Strength,"Full Body, Glutes, Hamstrings, Upper Back","Core, Forearms / Grip, Shoulders",,medium,,"odd-object over-shoulder; single row, no core"
outlier,Dumbbell Hold,,outlier,,,,Carry,Weightlifting,Dumbbell,,,,,,,,,,,,,,Strength,Biceps,Forearms / Grip,,medium,,static grip hold; Carry-adjacent but not a carry
outlier,Face Pull,,outlier,,,,Pull,Weightlifting,Cable,,,,,,,,,,,,,,Strength,Upper Back,"Neck / Traps, Shoulders",,high,,Cable addendum applied
outlier,Foam Roll,,outlier,,,yes,Foam Rolling,Recovery,Foam Roller,,,,,,,,,,,,,,Recovery,Full Body,,,high,,recovery station; stays in Movements tab (Today blocks depend on it)
outlier,Golf Swings,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Obliques, Shoulders","Core, Hip Flexors",,high,,recovery rotation; not a Swing derivation
outlier,Horn Curl + Press Out,,outlier,,,,Pull,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,"Biceps, Chest","Forearms / Grip, Shoulders, Triceps",,high,,ad-hoc combo
outlier,Horse Stance,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Hip Adductors, Quads","Core, Glutes",,high,,recovery/mobility
outlier,Hyperextensions,,outlier,,,,Hinge,Weightlifting,GHD,,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Lower Back",,,medium,,back/hip extension accessory; GHD assumed
outlier,Iron Tridents,,outlier,,,,Midline,Weightlifting,Kettlebell;Floor,,,,,,,,,,,,,,Strength,"Core, Shoulders","Hip Flexors, Triceps",,medium,,KB combo flow
outlier,Kettlebell Deadlift High Pull,,outlier,,,,Hinge,Weightlifting,Kettlebell,,,,,,,,,,,,,,MetCon,"Glutes, Shoulders, Upper Back","Core, Forearms / Grip, Hamstrings, Neck / Traps",,medium,,SDHP-adjacent compound; kept outlier per Gate A; promote a core later if programmed
outlier,Kettlebell Gravedigger,,outlier,,,,Midline,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Shoulders","Core, Lats, Triceps",,medium,,KB combo flow
outlier,Kettlebell Sprawl Row,,outlier,,,,Pull,Weightlifting,Kettlebell;Floor,,,,,,,,,,,,,,MetCon,"Full Body, Upper Back","Chest, Core, Forearms / Grip, Glutes, Quads, Shoulders",,medium,,burpee+row combo
outlier,Kettlebell Swing With Squat Swing Combo,,outlier,,,,Squat,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Quads","Core, Lower Back, Shoulders",,high,,ad-hoc combo
outlier,Knee To Elbow,,outlier,,,,Midline,Gymnastics,Bodyweight,,,,,,,,,,,,,,Strength,"Core, Obliques","Hip Flexors, Shoulders",,low,yes,ambiguous row (no description): standing crunch vs hanging knees-to-elbows; needs user confirmation
outlier,Leg Extension,,outlier,,,,Squat,Weightlifting,Machine; Machine,,,,,,,,,,,,,Leg Extensions,Strength,Quads,,,high,,"dup winner; stays an outlier - one distinct row, no sibling to derive; equipment Machine applied"
outlier,Lunge Rotation,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Obliques, Quads","Core, Glutes, Hamstrings",,high,,recovery/mobility
outlier,Lunge With Reach,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Hip Flexors, Quads","Glutes, Shoulders",,high,,recovery/mobility
outlier,Mobility Work,,outlier,,,yes,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Recovery,Full Body,,,high,,recovery station
outlier,Offset Reverse Lunge With Shoulder Press,,outlier,,,,Push/Press,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,"Glutes, Quads, Shoulders","Core, Hamstrings, Triceps",,high,,ad-hoc combo
outlier,Overhand Grip Curl To Press,,outlier,,,,Pull,Weightlifting,Dumbbell,,,,,,,,,,,,,,Strength,"Biceps, Shoulders","Forearms / Grip, Triceps",,high,,ad-hoc combo
outlier,Pigeon Stance Hip Stretch,,outlier,,,,Stretching,Recovery,Floor,,,,,,,,,,,,,,Stretching,"Glutes, Hip Flexors",Hip Abductors,,high,,stretching
outlier,Pike Rotation,,outlier,,,,Mobility,Recovery,Floor,,,,,,,,,,,,,,Mobility,"Core, Shoulders","Hamstrings, Obliques",,high,,recovery/mobility
outlier,Pike Walk,,outlier,,,,Inversion,Gymnastics,Bodyweight,,,,,,,,,,,,,,Skill,"Core, Hamstrings, Shoulders",Upper Back,,medium,,"progression toward handstand walk; scaling link, not derivation"
outlier,Plate-Loaded Standing Hip Abduction,,outlier,,,,Hinge,Weightlifting,Plate,,,,,,,,,,,,,,Strength,"Glutes, Hip Abductors",Quads,,high,,activation
outlier,Pullover With Knee Tucks,,outlier,,,,Pull,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,"Core, Hip Flexors, Lats","Chest, Shoulders, Triceps",,high,,ad-hoc combo
outlier,Reverse Tabletop Single-Arm Press With Opposing Leg Extension,,outlier,,,,Push/Press,Weightlifting,Kettlebell;Floor,,,,,,,,,,,,,,Strength,"Glutes, Shoulders, Triceps","Chest, Core, Hamstrings",,high,,ad-hoc combo
outlier,Russian Slams,,outlier,,,,Throw,Weightlifting,Med Ball,,,,,,,,,,,,,,Strength,"Core, Obliques","Shoulders, Triceps",,high,,"med-ball slam; single row, no Slam core"
outlier,Single-Arm Devil Press,,outlier,,,,Plyometric,Weightlifting,Dumbbell,,,,,,,,,,,,,,MetCon,Full Body,"Core, Glutes, Quads, Shoulders, Triceps",,medium,,burpee+snatch compound; kept outlier per approved compound rule (borderline flagged at Gate A)
outlier,Single-Arm Powerbomb,,outlier,,,,Push/Press,Weightlifting,Bodyweight,,,,,,,,,,,,,,Strength,Triceps,,,low,yes,"AMBIGUOUS dialect name, no description; triceps-tagged bodyweight row; left OUTLIER pending user confirmation"
outlier,Single-Arm Upright Row,,outlier,,,,Pull,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,Shoulders,"Biceps, Forearms / Grip, Neck / Traps",,medium,,upright-row pattern; too few rows for a core
outlier,Single-Leg Dumbbell Stiff-Leg Hip Opener,,outlier,,,,Stretching,Recovery,Dumbbell,,,,,,,,,,,,,,Mobility,"Glutes, Hamstrings","Core, Hip Abductors",,high,,mobility
outlier,Single-Leg Punch,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Core, Glutes","Calves, Obliques, Shoulders",,high,,recovery/mobility
outlier,Sissy Squat,,outlier,,,,Squat,Weightlifting,Bodyweight,,,,,,,,,,,,,,Strength,Quads,,,medium,,"quad accessory, not a squat-pattern derivation"
outlier,Squat Crunch,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Core, Quads","Glutes, Hip Flexors, Obliques",,high,,recovery/mobility
outlier,Stretch,,outlier,,,yes,Stretching,Recovery,Bodyweight,,,,,,,,,,,,,,Recovery,Full Body,,,high,,recovery station
outlier,Sumo RDL To Lateral Lunge Clean,,outlier,,,,Lunge,Weightlifting,Kettlebell,,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Quads","Core, Hip Abductors, Hip Adductors, Shoulders",,high,,ad-hoc combo
outlier,Tibialis Wall Raises,,outlier,,,,Activation,Recovery,Wall;Floor,,,,,,,,,,,,,Tibialis Anterior Raises; Tibialis Raises; Wall Tib Raises,Recovery,Calves,,,high,,un-parent from Lunge (misfile); activation
outlier,Toe-Driver,,outlier,,,,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,,,,,MetCon,Core,Hip Flexors,,high,,midline accessory
outlier,Trunk Twists,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Core, Obliques",Lower Back,,high,,recovery/mobility
outlier,Wall Walk,,outlier,,,yes,Inversion,Gymnastics,Bodyweight;Wall;Floor,,,,,,,,,,,,,,Skill,"Core, Shoulders","Chest, Triceps",,medium,,"first-class sport movement (Open); outlier by attributes, scaling link to Handstand Walk"
outlier,Windmill,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Obliques, Shoulders","Core, Glutes, Hamstrings",,high,,recovery/mobility
outlier,Windshield Wipers,,outlier,,,,Mobility,Recovery,Floor,,,,,,,,,,,,,,Mobility,"Core, Obliques","Hip Flexors, Lower Back",,high,,recovery/mobility
outlier,Yoga Squat To Reach,,outlier,,,,Mobility,Recovery,Bodyweight,,,,,,,,,,,,,,Mobility,"Quads, Shoulders","Glutes, Upper Back",,high,,recovery/mobility
